date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
20020603,sh.000001,1510.247,1510.259,1480.085,1483.348,1515.733,517919600,5062896260,3,0.005814,1,-2.136591,0
20020604,sh.000001,1484.008,1498.051,1474.363,1490.514,1483.348,457839500,4302623782,3,0.005137,1,0.483097,0
20020605,sh.000001,1491.074,1491.074,1460.481,1462,1490.514,440838800,4114143563,3,0.004943,1,-1.913034,0
20020606,sh.000001,1458.611,1532.735,1455.305,1521.263,1462,877563500,8454171955,3,0.009825,1,4.053553,0
20020607,sh.000001,1522.879,1540.825,1508.43,1529.507,1521.263,985853300,9191488779,3,0.011037,1,0.541919,0
20020610,sh.000001,1529.336,1529.378,1511.257,1517.23,1529.507,448487000,4269575560,3,0.005019,1,-0.802675,0
20020611,sh.000001,1515.993,1534.377,1515.746,1530.963,1517.23,500336300,4708529328,3,0.005599,1,0.905138,0
20020612,sh.000001,1531.75,1531.75,1513.919,1524.842,1530.963,381856500,3736411111,3,0.004273,1,-0.399812,0
20020613,sh.000001,1524.772,1529.436,1511.219,1511.711,1524.842,356452100,3701850442,3,0.003987,1,-0.861137,0
20020614,sh.000001,1508.642,1508.647,1493.244,1494.246,1511.711,391995000,3628483512,3,0.004385,1,-1.155319,0
20020617,sh.000001,1489.135,1496.839,1481.246,1496.242,1494.246,293316100,2774209819,3,0.003274,1,0.133577,0
20020618,sh.000001,1496.83,1527.77,1496.81,1524.07,1496.242,536516100,5209067897,3,0.005983,1,1.85986,0
20020619,sh.000001,1523.953,1524.011,1506.432,1507.668,1524.07,305287700,2903867130,3,0.0034,1,-1.076196,0
20020620,sh.000001,1511.115,1528.358,1510.528,1516.151,1507.668,397506100,3720233419,3,0.004423,1,0.562659,0
20020621,sh.000001,1517.275,1564.922,1517.255,1562.722,1516.151,1254214400,11847838619,3,0.013953,1,3.071663,0
20020624,sh.000001,1704.698,1709.066,1647.498,1707.313,1562.722,4851806100,49479880707,3,0.053966,1,9.252505,0
20020625,sh.000001,1718.234,1748.89,1690.613,1706.591,1707.313,4223811700,39276720823,3,0.04696,1,-0.042291,0
20020626,sh.000001,1698.11,1719.084,1684.913,1712.91,1706.591,2430587100,22850335907,3,0.027008,1,0.370276,0
20020627,sh.000001,1714.744,1730.673,1706.14,1723.545,1712.91,2199694900,19527987712,3,0.024442,1,0.620874,0
20020628,sh.000001,1724.727,1747.233,1710.999,1732.755,1723.545,2973538200,27319475280,3,0.03304,1,0.534362,0
20020701,sh.000001,1736.293,1740.381,1712.772,1713.705,1732.755,1551928200,14410127985,3,0.017121,1,-1.099408,0
20020702,sh.000001,1707.447,1725.894,1698.832,1724.949,1713.705,1337813300,12692810736,3,0.014741,1,0.656123,0
20020703,sh.000001,1727.09,1736.078,1719.622,1730.919,1724.949,1394988300,13262936584,3,0.015356,1,0.346096,0
20020704,sh.000001,1731.899,1735.829,1710.288,1713.135,1730.919,1389830900,12856610506,3,0.015296,1,-1.027427,0
20020705,sh.000001,1709.842,1722.48,1704.187,1722.188,1713.135,1140135500,10822714520,3,0.012548,1,0.528445,0
20020708,sh.000001,1723.579,1737.859,1721.124,1732.934,1722.188,1085101500,11098899355,3,0.011923,1,0.623972,0
20020709,sh.000001,1733.834,1741.918,1724.391,1729.986,1732.934,1053601600,10444746284,3,0.011571,1,-0.170116,0
20020710,sh.000001,1728.517,1729.734,1698.829,1701.824,1729.986,1223320300,11949595803,3,0.013424,1,-1.627874,0
